date,close
13-May-16,21297
12-May-16,22217
11-May-16,22170
10-May-16,22705
9-May-16,21285
8-May-16,21772
6-May-16,21772
5-May-16,21415
4-May-16,21446
3-May-16,22247
2-May-16,23406
29-Apr-16,23027
27-Apr-16,23465
26-Apr-16,22723
25-Apr-16,22224
23-Apr-16,22767
22-Apr-16,22767
21-Apr-16,22413
20-Apr-16,23288
19-Apr-16,23299
18-Apr-16,21967
15-Apr-16,21423
14-Apr-16,20825
13-Apr-16,20987
12-Apr-16,20399
11-Apr-16,19975
